Gene stable ID,Gene name,Mouse gene stable ID,Mouse gene name
ENSCAFG00845000002,PHLPP1,ENSMUSG00000044340,Phlpp1
ENSCAFG00845000007,RMND1,ENSMUSG00000019763,Rmnd1
ENSCAFG00845000008,ENPP1,ENSMUSG00000037370,Enpp1
ENSCAFG00845000009,CLVS2,ENSMUSG00000019785,Clvs2
ENSCAFG00845000014,ARMT1,ENSMUSG00000061759,Armt1
ENSCAFG00845000016,ZCCHC2,ENSMUSG00000038866,Zcchc2
ENSCAFG00845000018,ENSCAFG00845000018,ENSMUSG00000019804,Snx3
ENSCAFG00845000019,ENSCAFG00845000019,ENSMUSG00000056214,Pard6g
ENSCAFG00845000020,CCDC170,ENSMUSG00000019767,Ccdc170
ENSCAFG00845000021,ADNP2,ENSMUSG00000053950,Adnp2
ENSCAFG00845000024,RBFA,ENSMUSG00000024570,Rbfa
ENSCAFG00845000026,TXNL4A,ENSMUSG00000057130,Txnl4a
ENSCAFG00845000028,ESR1,ENSMUSG00000019768,Esr1
ENSCAFG00845000029,TRDN,ENSMUSG00000019787,Trdn
ENSCAFG00845000030,HSBP1L1,ENSMUSG00000078963,Hsbp1l1
ENSCAFG00845000032,TNFRSF11A,ENSMUSG00000026321,Tnfrsf11a
ENSCAFG00845000033,ENSCAFG00845000033,ENSMUSG00000034006,Slc66a2
ENSCAFG00845000036,RELCH,ENSMUSG00000026319,Relch
ENSCAFG00845000038,U6,ENSMUSG00000064394,Gm23622
ENSCAFG00845000040,ANXA1,ENSMUSG00000024659,Anxa1
ENSCAFG00845000041,NKAIN2,ENSMUSG00000069670,Nkain2
ENSCAFG00845000042,ALDH1A1,ENSMUSG00000024747,Aldh1a7
ENSCAFG00845000042,ALDH1A1,ENSMUSG00000053279,Aldh1a1
ENSCAFG00845000043,SYNE1,ENSMUSG00000096054,Syne1
ENSCAFG00845000044,RNF217,ENSMUSG00000063760,Rnf217
ENSCAFG00845000045,CTDP1,ENSMUSG00000033323,Ctdp1
ENSCAFG00845000046,TMC1,ENSMUSG00000024749,Tmc1
ENSCAFG00845000048,TPD52L1,ENSMUSG00000000296,Tpd52l1
ENSCAFG00845000050,PEG3,ENSMUSG00000002265,Peg3
ENSCAFG00845000056,ZFAND5,ENSMUSG00000024750,Zfand5
ENSCAFG00845000063,ENSCAFG00845000063,ENSMUSG00000038690,Atp5j2
ENSCAFG00845000064,NOL8,ENSMUSG00000021392,Nol8
ENSCAFG00845000066,HDDC2,ENSMUSG00000000295,Hddc2
ENSCAFG00845000067,ENSCAFG00845000067,ENSMUSG00000048067,Olfr1349
ENSCAFG00845000068,PIGN,ENSMUSG00000056536,Pign
ENSCAFG00845000069,GDA,ENSMUSG00000058624,Gda
ENSCAFG00845000070,OR6Z1,ENSMUSG00000034583,Olfr1347
ENSCAFG00845000070,OR6Z1,ENSMUSG00000093877,Olfr1348
ENSCAFG00845000071,ENSCAFG00845000071,ENSMUSG00000037742,Eef1a1
ENSCAFG00845000073,NFATC1,ENSMUSG00000033016,Nfatc1
ENSCAFG00845000074,ENSCAFG00845000074,ENSMUSG00000096228,Olfr5
