Gene stable ID,Gene name,Human gene stable ID,Human gene name
ENSCAFG00845000002,PHLPP1,ENSG00000081913,PHLPP1
ENSCAFG00845000007,RMND1,ENSG00000155906,RMND1
ENSCAFG00845000008,ENPP1,ENSG00000197594,ENPP1
ENSCAFG00845000009,CLVS2,ENSG00000146352,CLVS2
ENSCAFG00845000014,ARMT1,ENSG00000146476,ARMT1
ENSCAFG00845000016,ZCCHC2,ENSG00000141664,ZCCHC2
ENSCAFG00845000019,ENSCAFG00845000019,ENSG00000178184,PARD6G
ENSCAFG00845000020,CCDC170,ENSG00000120262,CCDC170
ENSCAFG00845000021,ADNP2,ENSG00000101544,ADNP2
ENSCAFG00845000024,RBFA,ENSG00000101546,RBFA
ENSCAFG00845000026,TXNL4A,ENSG00000141759,TXNL4A
ENSCAFG00845000028,ESR1,ENSG00000091831,ESR1
ENSCAFG00845000029,TRDN,ENSG00000186439,TRDN
ENSCAFG00845000030,HSBP1L1,ENSG00000226742,HSBP1L1
ENSCAFG00845000032,TNFRSF11A,ENSG00000141655,TNFRSF11A
ENSCAFG00845000033,ENSCAFG00845000033,ENSG00000122490,SLC66A2
ENSCAFG00845000036,RELCH,ENSG00000134444,RELCH
ENSCAFG00845000040,ANXA1,ENSG00000135046,ANXA1
ENSCAFG00845000041,NKAIN2,ENSG00000188580,NKAIN2
ENSCAFG00845000042,ALDH1A1,ENSG00000165092,ALDH1A1
ENSCAFG00845000043,SYNE1,ENSG00000131018,SYNE1
ENSCAFG00845000044,RNF217,ENSG00000146373,RNF217
ENSCAFG00845000045,CTDP1,ENSG00000060069,CTDP1
ENSCAFG00845000046,TMC1,ENSG00000165091,TMC1
ENSCAFG00845000048,TPD52L1,ENSG00000111907,TPD52L1
ENSCAFG00845000050,PEG3,ENSG00000198300,PEG3
ENSCAFG00845000056,ZFAND5,ENSG00000107372,ZFAND5
ENSCAFG00845000063,ENSCAFG00845000063,ENSG00000241468,ATP5MF
ENSCAFG00845000064,NOL8,ENSG00000198000,NOL8
ENSCAFG00845000066,HDDC2,ENSG00000111906,HDDC2
ENSCAFG00845000068,PIGN,ENSG00000197563,PIGN
ENSCAFG00845000069,GDA,ENSG00000119125,GDA
ENSCAFG00845000072,U6,ENSG00000201182,RNU6-670P
ENSCAFG00845000073,NFATC1,ENSG00000131196,NFATC1
ENSCAFG00845000075,U2,ENSG00000252018,RNU2-30P
ENSCAFG00845000077,MYCT1,ENSG00000120279,MYCT1
ENSCAFG00845000078,ZNF428,ENSG00000131116,ZNF428
ENSCAFG00845000079,SNORA70,ENSG00000252526,SNORA70
ENSCAFG00845000079,SNORA70,ENSG00000252258,SNORA70
ENSCAFG00845000079,SNORA70,ENSG00000200237,SNORA70
ENSCAFG00845000080,ENSCAFG00845000080,ENSG00000129084,PSMA1
ENSCAFG00845000084,SRRM5,ENSG00000226763,SRRM5
ENSCAFG00845000085,VIP,ENSG00000146469,VIP
ENSCAFG00845000086,KCTD15,ENSG00000153885,KCTD15
ENSCAFG00845000088,ZNF576,ENSG00000124444,ZNF576
ENSCAFG00845000089,HEY2,ENSG00000135547,HEY2
ENSCAFG00845000090,DKKL1,ENSG00000104901,DKKL1
ENSCAFG00845000091,ENSCAFG00845000091,ENSG00000204669,C9orf57
ENSCAFG00845000092,IARS1,ENSG00000196305,IARS1
ENSCAFG00845000096,ENSCAFG00845000096,ENSG00000178700,DHFR2
ENSCAFG00845000096,ENSCAFG00845000096,ENSG00000228716,DHFR
ENSCAFG00845000097,IRGQ,ENSG00000167378,IRGQ
ENSCAFG00845000098,CHST8,ENSG00000124302,CHST8
ENSCAFG00845000099,C1H9orf85,ENSG00000155621,C9orf85
ENSCAFG00845000104,FBXO5,ENSG00000112029,FBXO5
ENSCAFG00845000107,SMIM17,ENSG00000268182,SMIM17
ENSCAFG00845000108,ENSCAFG00845000108,ENSG00000234465,PINLYP
ENSCAFG00845000111,TEAD2,ENSG00000074219,TEAD2
ENSCAFG00845000113,ZNF529,ENSG00000186020,ZNF529
ENSCAFG00845000120,MTRF1L,ENSG00000112031,MTRF1L
ENSCAFG00845000122,ENSCAFG00845000122,ENSG00000239183,SNORA84
ENSCAFG00845000123,ABHD17B,ENSG00000107362,ABHD17B
ENSCAFG00845000126,ZNF382,ENSG00000161298,ZNF382
ENSCAFG00845000128,PEPD,ENSG00000124299,PEPD
ENSCAFG00845000129,CDH20,ENSG00000101542,CDH20
ENSCAFG00845000130,ADARB2,ENSG00000185736,ADARB2
ENSCAFG00845000133,ZNF484,ENSG00000127081,ZNF484
ENSCAFG00845000134,ATP9B,ENSG00000166377,ATP9B
ENSCAFG00845000135,XRCC1,ENSG00000073050,XRCC1
ENSCAFG00845000138,ZNF71,ENSG00000197951,ZNF71
ENSCAFG00845000139,NCOA7,ENSG00000111912,NCOA7
ENSCAFG00845000141,RGS17,ENSG00000091844,RGS17
ENSCAFG00845000143,ENSCAFG00845000143,ENSG00000104894,CD37
ENSCAFG00845000145,MFSD14B,ENSG00000148110,MFSD14B
ENSCAFG00845000150,AMFR,ENSG00000159461,AMFR
ENSCAFG00845000152,CEBPG,ENSG00000153879,CEBPG
ENSCAFG00845000154,OPTN,ENSG00000123240,OPTN
ENSCAFG00845000157,ZNF461,ENSG00000197808,ZNF461
ENSCAFG00845000160,OPRM1,ENSG00000112038,OPRM1
ENSCAFG00845000161,U4,ENSG00000222727,RNU4-64P
ENSCAFG00845000162,ZNF470,ENSG00000197016,ZNF470
ENSCAFG00845000165,CEMIP2,ENSG00000135048,CEMIP2
ENSCAFG00845000166,CCDC3,ENSG00000151468,CCDC3
ENSCAFG00845000167,ZNF575,ENSG00000176472,ZNF575
ENSCAFG00845000168,SLC7A10,ENSG00000130876,SLC7A10
ENSCAFG00845000173,U6,ENSG00000201135,RNU6-777P
ENSCAFG00845000173,U6,ENSG00000200713,RNU6-682P
ENSCAFG00845000175,ENSCAFG00845000175,ENSG00000189042,ZNF567
ENSCAFG00845000177,KDM1A,ENSG00000004487,KDM1A
ENSCAFG00845000178,ZFP28,ENSG00000196867,ZFP28
ENSCAFG00845000181,TRPM4,ENSG00000130529,TRPM4
ENSCAFG00845000187,ENSCAFG00845000187,ENSG00000099326,MZF1
ENSCAFG00845000189,ENSCAFG00845000189,ENSG00000196263,ZNF471
ENSCAFG00845000191,SALL3,ENSG00000256463,SALL3
ENSCAFG00845000193,MCCC2,ENSG00000131844,MCCC2
ENSCAFG00845000194,CAMK1D,ENSG00000183049,CAMK1D
ENSCAFG00845000195,LRP3,ENSG00000130881,LRP3
ENSCAFG00845000200,UBE2M,ENSG00000130725,UBE2M
ENSCAFG00845000202,ENSCAFG00845000202,ENSG00000252118,RNU6ATAC39P
ENSCAFG00845000203,SLC6A16,ENSG00000063127,SLC6A16
ENSCAFG00845000204,ZNF146,ENSG00000167635,ZNF146
ENSCAFG00845000205,CNKSR3,ENSG00000153721,CNKSR3
ENSCAFG00845000206,CHMP2A,ENSG00000130724,CHMP2A
ENSCAFG00845000208,ZNF565,ENSG00000196357,ZNF565
ENSCAFG00845000209,WDR88,ENSG00000166359,WDR88
ENSCAFG00845000210,CDC123,ENSG00000151465,CDC123
ENSCAFG00845000211,ZNF667,ENSG00000198046,ZNF667
ENSCAFG00845000212,PJA2,ENSG00000198961,PJA2
ENSCAFG00845000213,TMEM129,ENSG00000168936,TMEM129
ENSCAFG00845000215,MSANTD4,ENSG00000170903,MSANTD4
ENSCAFG00845000216,CARTPT,ENSG00000164326,CARTPT
ENSCAFG00845000217,MAP10,ENSG00000212916,MAP10
ENSCAFG00845000219,COX7A1,ENSG00000161281,COX7A1
ENSCAFG00845000220,ZBTB16,ENSG00000109906,ZBTB16
ENSCAFG00845000222,CBL,ENSG00000110395,CBL
ENSCAFG00845000223,TRIM28,ENSG00000130726,TRIM28
ENSCAFG00845000226,MAP1B,ENSG00000131711,MAP1B
